_POSITIVES_PER_1OOK,_DEATHS_PER_100k,COUNTY,_Percent C_Female,_Percent C_Male,_Percent C_SexUnkn,_Percent  C_Age_0_4,_Percent   C_Age_5_14,_Percent  C_Age_15_24,_Percent  C_Age_25_34,_Percent  C_Age_35_44,_Percent C_Age_45_54,_Percent   C_Age_55_64,_Percent   C_Age_65_74,_Percent   C_Age_75_84,_Percent   C_Age_85plus,_Percent   C_Age_Unkn,C_AgeMedian,_Percent   C_RaceWhite,_Percent   C_RaceBlack,_Percent   C_RaceOther,_Percent   C_RaceUnknown,_Percent   C_HispanicYES,_Percent   C_HispanicNO,_Percent   C_HispanicUnk,_Percent   C_EDYes_Res,_Percent   C_EDYes_NonRes,_Percent   C_HospYes_Res,_Percent   C_HospYes_NonRes,Percent  C_Men,Percent  C_Women,Percent  C_FLRes,Percent  C_NotFLRes,Percent  C_FLResOut,_PUI_Percent_Age_0_4,_PUI_Percent_Age_5_14,_PUI_Percent_Age_15_24,_PUI_Percent_Age_25_34,_PUI_Percent_Age_35_44,_PUI_Percent_Age_45_54,_PUI_Percent_Age_55_64,_PUI_Percent_Age_65_74,_PUI_Percent_Age_75_84,_PUI_Percent_Age_85plus,_PUI_Percent_Age_Unkn,PUIAgeMedian,_PUIFemale_Percent,_PUIMale_Percent,PUIAgeAvrg,TPositive,Deaths,_POP_PERCENT_MALE,_POP_TOT_FEMALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC
73,3,HERNANDO,47.8,52.2, -,0.7,4.5,6.7,23.9,13.4,14.9,20.1,11.9,6.7,1.5, -,46,81.3,12.7,4.5,1.5,22.4,74.6,3,32.1,1.4,20.1,1.4,51.4,48.6,95.7,4.3, -,1.891117479,1.690544413,6.962750716,13.467048711,12.464183381,15.243553009,18.997134670,15.415472779,10.573065903,3.724928367,0.114613181,54,60.143061516,39.856938484,66,140,5,48.188510204,51.811489796,89.803264087,5.978571241,0.486207529,1.444476462,0.086972467,2.200508213,14.182275430
229,10,PINELLAS,58.4,41.5,0.1,0.9,3.8,10.1,20.1,13.7,13.9,13.7,10.6,8.4,7.2, -,46,54.5,25.1,6.2,14.2,9.4,72.1,18.5,23.1,0.9,21.1,0.8,41.9,58,97.7,2.3, -,0.950901858,1.277859517,5.847092801,11.721432075,11.495286360,14.555065119,19.612010245,18.148874721,11.072966051,5.980600512,0.217971773,57,58.284600390,41.715399610,411,2235,102,47.968583381,52.031416619,82.612583053,11.052518251,0.387478468,3.591789025,0.116684439,2.238946764,10.006562218
444,41,SUWANNEE,68.1,31.9, -,1,4.2,9.4,11,14.1,14.1,11.5,11,15.7,10.5, -,52,62.8,23.6,4.7,8.9,15.7,77,7.3,17.8,0.5,20.9, -,32.1,67.9,97.4,2.6, -,2.590673575,2.260951484,7.536504946,12.764955252,11.446066886,11.822892134,16.156382478,14.083843618,11.116344795,9.985869053,0.471031559,56,66.666666667,33.333333333,110,196,18,51.465230477,48.534769523,84.130252766,12.783145889,0.746758390,0.685659976,0.085990360,1.568192618,9.630920323
209,6,DUVAL,54.1,45.9, -,1.7,2.9,11.3,18.6,16.9,15.5,16.6,11.1,5.9,3.3,0.1,45,43.3,33.9,15.7,7.1,18.7,71.8,9.6,21.5,1.1,15.8,0.6,46.1,53.8,96.3,3.7, -,1.629598398,2.112364288,8.847897122,15.899652156,14.706440392,15.644566249,18.317697902,13.500579741,6.918941710,3.453146411,0.231896279,49,56.220788834,43.779211166,454,1990,57,48.457504412,51.542495588,60.802310297,30.573648600,0.452650600,5.064298276,0.121871517,2.985220711,10.136595028
149,0,LAFAYETTE,38.5,61.5, -, -, -,23.1,23.1,0,15.4,7.7,15.4, -,15.4, -,46,92.3,7.7, -, -,23.1,69.2,7.7,23.1, -,7.7, -,61.5,38.5,100, -, -,1.453488372,0,12.5,11.918604651,11.046511628,9.883720930,10.465116279,13.662790698,15.988372093,12.790697674,0.290697674,59,65.578635015,34.421364985,0,13,0,57.100320660,42.899679340,83.886852955,13.502061383,0.813101237,0.297755383,0.114521301,1.385707742,14.246449840
49,0,GULF,42.9,57.1, -, -,14.3,0,14.3,28.6,42.9,0,14.3, -, -, -,44,71.4,0,28.6, -,28.6,71.4, -,14.3,12.5, -,12.5,62.5,37.5,87.5,12.5, -,1.824817518,1.824817518,6.569343066,10.401459854,11.496350365,18.248175182,22.445255474,21.897810219,11.861313869,3.467153285,0,56,59.5,40.5,1,8,0,58.531304133,41.468695867,79.819351646,17.044048503,0.661964860,0.476367236,0.024746350,1.973521406,4.621380846
254,7,UNION,15.8,84.2, -, -, -,0,13.2,2.6,5.3,44.7,28.9,5.3, -, -,62,63.2,28.9,5.3,2.6,2.6,94.7,2.6,21.1, -,21.1, -,84.2,15.8,100, -, -,0.945017182,1.460481100,4.639175258,6.443298969,9.278350515,11.855670103,34.278350515,23.797250859,6.099656357,1.202749141,0,59,27.312013829,72.687986171,4,38,1,64.410977242,35.589022758,74.283801874,22.650602410,0.528781794,0.742971888,0.040160643,1.753681392,5.709504685
188,7,BRADFORD,78.8,21.2, -, -,3.8,5.8,5.8,13.5,9.6,5.8,11.5,23.1,21.2, -,70,88.5,9.6,1.9, -, -,100, -,7.7, -,21.2, -,21.2,78.8,100, -, -,1.230348599,1.708817498,7.928913192,12.645249487,11.483253589,15.105946685,19.685577580,12.918660287,9.979494190,7.040328093,0.410116200,54,63.611111111,36.388888889,34,52,2,55.235828646,44.764171354,76.741670273,20.052646762,0.497620078,0.602192413,0.054089139,2.051781336,4.269436031
108,3,WAKULLA,69.7,30.3, -, -, -,15.2,15.2,15.2,30.3,15.2,9.1,3,3, -,46,51.5,39.4,9.1, -, -,100, -,18.2, -,15.2, -,28.6,71.4,94.3,5.7, -,1.041666667,2.323717949,6.971153846,10.977564103,13.461538462,17.067307692,19.631410256,17.067307692,8.573717949,3.125,0.080128205,53,56.970185334,43.029814666,13,35,1,53.377899633,46.622100367,83.164412680,13.101876097,0.739348757,0.739348757,0.092418595,2.162595114,3.767598041
91,3,BREVARD,53.2,46.8, -,1.7,3,11.8,13.3,13.7,15.2,19.7,11.4,7.1,5.2, -,50,75.1,11.8,6.7,6.4,24.3,68.4,7.3,25.3,0.4,14.4,0.4,46.4,53.6,98,2, -,1.324914605,1.749301315,5.397991926,9.403788428,10.676948556,13.906427906,22.746092537,20.355035711,10.873615568,2.877548908,0.776317151,58,57.228258044,42.771741956,107,545,15,48.907345074,51.092654926,83.244338183,10.725660929,0.462093427,2.640366324,0.133702159,2.793838978,10.716445868
207,11,POLK,59.4,40.5,0.1,1.1,2.7,10.2,13.2,15.8,14.7,13.6,12.1,10.1,7.4, -,49,63.4,18,13,5.6,30.8,60.2,8.9,35.2,0.5,25.9,0.2,40.5,59.4,99.1,0.9, -,2.357903845,2.552593153,7.165648153,12.308690714,12.844086312,14.477313288,16.435022443,16.045643827,10.215780650,4.261532637,1.833324320,53,58.636808349,41.363191651,231,1466,75,49.000648297,50.999351703,78.916510948,16.123241371,0.667364398,1.940229573,0.110168091,2.242485618,23.619615005
228,6,OSCEOLA,50.3,49.7, -,1.1,2.4,8.8,18.3,16.1,20.5,17.4,11.9,7.6,2.2,0.1,48,49.2,9.3,39.3,2.3,60.6,32.9,6.5,33,0.8,20.3,0.8,51.1,48.9,93.9,6.1, -,1.267350634,2.617682559,6.789378395,13.488231744,14.393482197,16.732045866,17.478877489,13.375075438,6.646047073,2.429088715,5.378696439,50,56.404070863,43.595929137,390,838,21,49.311937824,50.688062176,79.376885241,13.853365581,0.814967798,2.898720074,0.257072203,2.798989103,55.285469714
162,9,HIGHLANDS,50.9,49.1, -,0.6,5.3,7.1,12.4,12.4,15.4,21.9,12.4,11.2,2.4, -,54,58.6,23.1,16,2.4,36.1,56.2,7.7,31.4,0.6,25.4,0.6,49.7,50.3,98.8,1.2, -,1.448483192,1.585132550,4.646078163,10.330691446,8.964197868,11.779174638,16.288603444,19.404208800,17.026509975,9.756764143,0.546597431,62,61.404936263,38.595063737,47,171,9,48.864584914,51.135415086,85.440696616,10.494764001,0.663036880,1.559417211,0.095803612,1.746281682,20.810251935
376,17,LEE,53.6,46.3,0.1,1.3,2.3,9.7,14.5,15.9,16.6,15,11.4,8.3,7.7, -,49,59.8,15.4,2.6,22.2,29.3,47.6,23.1,26.9,0.5,17.5,0.5,46.5,53.4,97.4,2.6,0,1.182659600,1.495134879,6.767660786,11.656514516,12.645360335,14.642828890,17.933707776,18.879044379,12.609761886,5.695751918,0.241278380,56,58.279495462,41.720504538,613,2836,132,48.948728482,51.051271518,86.793310452,9.078994447,0.502511231,1.758656790,0.112773486,1.753753595,21.896476326
667,16,COLLIER,48.6,51.3,0.2,2.7,6,13.6,15.4,18.1,15.1,13,8.9,7,3.3, -,42,58.7,5.3,9.1,27,53.1,24.5,22.4,15.9,0.8,11,0.4,51.5,48.3,97,3, -,2.091417297,3.610654390,8.188096021,11.206839855,12.443275238,13.337717856,15.580401184,17.671818481,13.633673134,4.472213088,0.111805327,55,54.321465428,45.678534572,356,2526,60,49.346082306,50.653917694,89.291866585,7.411595612,0.478218596,1.554078333,0.097228974,1.167011900,28.202479339
794,30,DADE,49.9,50.1,0.1,0.8,1.5,8.8,17,16.1,18.7,16.1,10.7,6.9,5.3,0.1,48,54.5,15.7,5,24.7,54.1,21.1,24.8,25.7,0.2,16,0.1,50.1,49.8,98,2,0,1.062968724,1.541020096,7.569146716,15.885722958,15.972986303,18.353125672,17.390067155,11.873506089,6.784408949,4.016643270,0.386993967,49,52.790556595,47.209443405,2785,21917,825,48.548929037,51.451070963,78.835312091,17.947581476,0.279079267,1.657311518,0.046639950,1.234075698,69.059354044
172,5,MONROE,48.3,51.7, -, -,3.4,6.8,11.9,13.6,16.1,19.5,16.9,11.9,9.3, -,55,73.7,4.2,0.8,21.2,22,52.5,25.4,12.7,2.3,8.5,1.6,51.9,48.1,91.5,8.5, -,0.751408892,1.502817783,5.948653726,11.678146525,13.775829681,17.470256731,22.417031935,16.906700063,8.390732624,3.162179086,0.062617408,54,53.167281673,46.832718327,83,129,4,51.987951004,48.012048996,89.283857811,6.862862703,0.517147160,1.426153251,0.102629720,1.807349354,24.948351927
162,5,SANTA ROSA,32.8,67.2, -,1.4,1,11.1,18.1,17.8,19.2,13.9,11.8,4.2,2.8, -,45,72.5,15,2.1,10.5,5.9,76.3,17.8,9.4, -,9.4, -,66.3,33.7,98.6,1.4, -,3.296543712,3.833865815,7.812953819,13.316874818,14.115596863,15.132152193,16.802207377,15.175718850,7.885564914,3.441765902,0.145222190,50,55.046931408,44.953068592,99,291,9,50.964320961,49.035679039,87.046484787,6.461145588,0.877618498,2.152228337,0.170059493,3.292463298,5.701174804
207,13,WALTON,57.7,42.3, -,3.1,5.4,9.2,13.1,20.8,13.1,21.5,13.1,10,4.6, -,48,90.8,6.9,0.8,1.5,24.6,72.3,3.1,19.2,3.4,15.4,1.4,41.9,58.1,87.8,12.2, -,3.240152478,2.350698856,6.416772554,10.673443456,13.278271919,15.374841169,18.170266836,15.565438374,10.038119441,8.386277001,0.190597205,55,56.865203762,43.134796238,15,148,9,50.549912434,49.450087566,89.713485114,5.244133100,0.805604203,1.384238179,0.161120841,2.691418564,6.380385289
660,2,JACKSON,21.3,78.7, -,0.6,2.3,9.7,24.8,23.2,20,15.5,4.8,1.6,0.3, -,40,40.6,41.3,6.5,11.6,9.4,56.1,34.5,11.3,0.6,6.5, -,77.7,22.3,97.2,2.8, -,0.802944128,1.104048177,8.129809301,17.196386751,17.263298762,17.631314821,15.791234527,10.304449649,7.661425226,4.683840749,0.200736032,48,46.298834818,53.701165182,19,319,1,55.097815961,44.902184039,69.195735431,26.854362902,0.875685747,0.755615361,0.293965428,2.024635131,5.011903530
370,36,WASHINGTON,52.2,47.8, -, -,2.2,4.4,10,8.9,7.8,24.4,18.9,17.8,7.8, -,60,71.1,20,1.1,7.8,1.1,90,8.9,8.9, -,20, -,46.7,53.3,97.8,2.2, -,1.337792642,1.783723523,6.020066890,10.590858417,12.151616499,15.607580825,21.850613155,14.158305463,11.036789298,6.131549610,0,56,60.726447219,39.273552781,9,92,9,53.657556270,46.342443730,80.442122186,14.859324759,1.362540193,0.594855305,0.341639871,2.399517685,3.701768489
107,1,NASSAU,51.2,48.8, -, -,1.2,15.5,20.2,19,13.1,11.9,16.7,8.3,3.6, -,44,78.6,15.5,2.4,3.6,1.2,95.2,3.6,33.3,1.1,19, -,47.8,52.2,91.3,8.7, -,1.405750799,1.629392971,7.220447284,10.479233227,11.821086262,14.217252396,19.872204473,19.073482428,12.204472843,5.431309904,0.127795527,57,57.363576594,42.636423406,28,92,1,49.228725883,50.771274117,90.602572467,6.045530804,0.499813589,1.024093578,0.083884798,1.744104763,4.478516171
831,7,GLADES,19.3,80.7, -,0.9,2.6,12.3,28.1,26.3,13.2,10.5,4.4,0.9,0.9, -,38,78.9,13.2,2.6,5.3,64,29.8,6.1,14, -,9.6, -,80.7,19.3,100, -, -,0.757575758,3.787878788,10.984848485,18.560606061,19.696969697,11.742424242,11.742424242,11.363636364,8.712121212,2.272727273,0.378787879,43,42.748091603,57.251908397,3,114,1,56.244535121,43.755464879,78.832701836,13.829787234,5.187991839,0.706791023,0.102011075,1.340716992,21.145438648
288,39,CHARLOTTE,60.8,39.1,0.2,0.9,1.3,3.2,10.2,6.4,10.2,18.5,15.3,15.3,19.1, -,64,82.5,10,2.5,5.1,5.7,87,7.4,19.1,0.2,25.1,0.2,39.1,60.7,99.6,0.4, -,1.121117442,0.937327697,4.466090792,8.325675427,9.667340562,13.673956993,19.297923176,19.224407278,13.471788274,10.034920051,0.110273847,61,59.751345333,40.248654667,62,532,73,48.787554460,51.212445540,90.451248122,6.000064866,0.401085417,1.418934259,0.061081741,1.667585596,7.411972021
180,21,SARASOTA,56.5,43.5, -,0.5,0.9,6.2,10.8,11.2,12,14.9,16.7,17.1,12.9, -,62,77.8,7.7,6.6,7.9,10.2,76.3,13.4,27.2,1.7,23.1,1.3,44.1,55.9,97,3, -,1.179391682,1.326815642,5.136561142,8.899751707,9.310986965,12.624146493,18.870266915,21.523898200,15.378646803,7.278088144,0.318125388,61,57.216733560,42.783266440,190,767,91,47.652548053,52.347451947,91.526956913,4.776222236,0.319180349,1.781973106,0.061867557,1.533799840,9.338251492
963,27,DESOTO,43.2,56.5,0.3,3.3,10.2,13.3,19.1,16.9,12.5,13.6,7.2,1.7,2.2, -,36,81.2,7.2,1.4,10.2,67.3,20.5,12.2,16.1, -,12.5, -,56.5,43.2,100, -, -,2.125850340,3.656462585,8.035714286,13.435374150,13.775510204,17.857142857,20.110544218,11.734693878,6.505102041,2.976190476,0.212585034,50,42.250338906,57.749661094,48,361,10,56.629944784,43.370055216,84.230040812,12.619701779,1.098989037,0.597508603,0.170716744,1.283043026,31.876016965
185,4,FLAGLER,59.4,40.6, -, -,2,6.9,11.9,11.9,16.3,24.3,19.3,7.9,2, -,56,59.4,16.3,19.8,4.5,11.9,82.7,5.4,16.8,1.4,11.9,1,40.6,59.4,97.6,2.4, -,1.098326360,0.993723849,4.864016736,9.597280335,11.741631799,14.252092050,20.057531381,20.083682008,12.552301255,5.517782427,0.156903766,59,59.338061466,40.661938534,37,207,5,48.120320879,51.879679121,83.949780042,10.739111424,0.399760857,2.603799513,0.091016981,2.216531182,10.542800289
1535,48,HENDRY,37.8,62.2, -,3,2.7,13,23.8,20.1,15,10,5.5,4.1,2.8, -,38,80.7,9.4,3,6.9,74.5,21.3,4.2,16.5, -,10.2, -,62.2,37.8,100, -, -,3.191489362,3.361702128,12.085106383,18.382978723,15.659574468,14.510638298,13.914893617,8.382978723,5.787234043,4.510638298,0.297872340,43,49.701110162,50.298889838,32,638,20,53.332852055,46.667147945,83.629319473,12.056020791,2.033400712,0.976994898,0.199730484,1.104533641,54.302627779
130,7,INDIAN RIVER,55.7,44.3, -,1.5,3.6,10.3,14.4,12.9,13.4,12.4,17,13.9,6.2, -,50,67.5,9.3,10.8,12.4,21.1,60.3,18.6,36.6,2.9,18.6,1.5,45.4,54.6,94.6,5.4, -,0.989722116,1.122953940,5.919299581,8.850399695,8.907499048,12.086029692,16.920441568,20.422535211,14.845831747,11.058241340,0.247430529,62,61.663209504,38.336790496,77,205,11,47.912815333,52.087184667,86.912770864,9.482063108,0.437066824,1.578014522,0.050186452,1.539898229,12.681925889
458,18,BROWARD,50.5,49.5, -,0.8,1.9,9.8,16.7,16.6,18.5,18,10.4,6.4,3.8, -,47,50.7,36.3,9.1,3.9,35.3,61,3.7,31.1,0.8,19.4,0.6,49.8,50.2,97.2,2.8, -,1.228032576,1.573081869,6.667381054,14.646378054,15.482211745,17.968281183,19.459922846,13.476210887,7.196742392,3.722674668,0.205743678,51,55.305549002,44.694450998,2336,8928,357,48.715599151,51.284400849,63.220431926,30.092453082,0.405379088,3.887283089,0.122382461,2.272070355,30.428184865
312,12,ESCAMBIA,57.4,42.6, -,1.7,3.5,14.4,17.1,16.4,15.8,19,14.6,14.9,9.1, -,52,45.1,36.8,3.2,14.9,4.1,73.3,22.6,11.6, -,8.6, -,41.7,58.3,79.1,20.9, -,2.949616283,2.996329663,9.369369369,15.328661995,13.800467134,16.062729396,22.135468802,18.698698699,10.750750751,6.219552886,0.240240240,54,60.626234133,39.373765867,183,985,38,49.496726185,50.503273815,68.919989605,23.207958572,0.899427637,3.407556713,0.179695374,3.385372099,5.819658103
441,0,OKEECHOBEE,50,49.5,0.5,3.8,11,22.5,15.9,15.9,12.1,13.2,3.8,1.6,0.5, -,33,69.2,10.4,3.8,16.5,51.1,32.4,16.5,6.6, -,9.3,0.5,49.7,49.7,99.5,0.5, -,1.789019124,3.084515731,13.695249846,12.091301666,10.857495373,12.584824183,15.299198026,11.165946946,10.795805059,8.389882788,0.678593461,51,60.024906600,39.975093400,2,183,0,53.660591762,46.339408238,86.792498255,9.049762862,1.557647399,1.023184149,0.142042035,1.434865301,25.454414137
17,0,FRANKLIN,100,0, -, -, -,0,100,0,0,100,0, -, -, -,42,100,0, -, -, -,100, -,0, -, -, -,0,100,50,50, -,0.436681223,0.873362445,5.240174672,7.423580786,7.423580786,10.698689956,22.925764192,26.855895197,15.502183406,3.493449782,0,63,56.209150327,43.790849673,0,2,0,55.768575324,44.231424676,84.057600545,12.397750511,0.996932515,0.485685072,0.076687117,1.985344240,5.598159509
200,4,ALACHUA,49.1,50.9, -,0.8,1.2,21.9,25,12.1,12.7,11.1,12.1,4.4,2.5,0.2,36,32.2,27.8,13.1,26.9,15.2,58.5,26.3,25.7,0.9,16.1,0.7,50.8,49.2,96.3,3.7, -,1.395964274,1.369500496,10.777373470,18.822361892,14.872643070,14.687396626,16.963281508,12.616606021,6.053589150,3.790936156,0.436652332,47,58.293403348,41.706596652,61,541,10,48.314540147,51.685459853,69.857310080,20.586688201,0.359688245,6.260279453,0.079642608,2.856391412,10.276119071
121,2,ST. JOHNS,49.8,50.2, -,0.7,2,10.8,10.4,12.5,20.2,21.2,16.8,7.1,1.7, -,52,77.1,6.4,6.4,10.1,6.1,79.8,14.1,22.9,1,15.5,1,50.5,49.5,96.7,3.3, -,1.331681635,2.333023640,7.122948281,10.054712501,14.700113554,16.558273975,18.220295241,16.857644266,8.950139362,4.005368019,0.165169815,53,56.382202772,43.617797228,208,307,6,48.775470874,51.224529126,88.781606302,5.538403452,0.315817211,3.189635847,0.085738670,2.088798518,7.202834882
