CASEID,RESPONSE,RESIDUAL,_POSITIVES_PER_1OOK,BEACHES_PER_COUNTY,_POP_PER_SQUARE_MILE,___GDP_OF_STATE_GDP,_POP_PERCENT_MALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP___STATE_TOTAL,_POP___BTWN_0_29,_POP___BTWN_30_59,_POP___BTWN_60_PLUS,DEATHS,_DEATHS_PER_100K,COUNTY,TPOSITIVE
1,188.046,11.9544,200,0,308.521,1.34589,48.3145,69.8573,20.5867,0.359688,6.26028,0.0796426,2.85639,10.2761,1.26744,47.7452,57.3701,19.4328,10,4,"ALACHUA",541
2,139.703,-33.7033,106,0,48.4701,0.0644249,52.608,82.9942,14.0081,0.440839,0.70887,0.0317404,1.81626,2.6662,0.133126,39.806,54.0011,19.9542,4,14,"BAKER",30
3,111.025,-33.0252,78,4,244.442,0.82249,49.6144,81.7024,11.6797,0.828445,2.27917,0.160832,3.3494,6.70635,0.86992,36.8132,52.7269,23.8468,4,2,"BAY",145
4,139.341,48.6587,188,0,94.3265,0.0713485,55.2358,76.7417,20.0526,0.49762,0.602192,0.0540891,2.05178,4.26944,0.130201,35.7385,54.3019,24.2752,2,7,"BRADFORD",52
5,85.9773,5.02271,91,13,587.45,2.5342,48.9073,83.2443,10.7257,0.462093,2.64037,0.133702,2.79384,10.7164,2.8022,31.3843,48.0346,31.6782,15,3,"BREVARD",545
6,531.203,-73.2027,458,11,1616.62,10.4747,48.7156,63.2204,30.0925,0.405379,3.88728,0.122382,2.27207,30.4282,9.16114,35.7812,53.8663,22.8497,357,18,"BROWARD",8928
7,257.038,194.962,452,0,25.7266,0.0270427,54.5828,82.1553,13.2104,1.32995,0.802084,0.137108,2.36512,5.74484,0.0684857,34.9147,53.4654,24.4807,5,34,"CALHOUN",66
8,79.8105,208.19,288,5,272.056,0.505019,48.7876,90.4512,6.00006,0.401085,1.41893,0.0610817,1.66759,7.41197,0.868563,21.1148,37.1663,49.5595,73,39,"CHARLOTTE",532
9,75.858,21.142,97,1,254.174,0.379632,48.4787,93.0048,3.14746,0.43264,1.68189,0.038532,1.69473,5.94812,0.694524,24.6402,38.5672,45.0757,12,8,"CITRUS",143
10,155.911,45.0894,201,0,357.735,0.487489,49.3169,80.6042,12.3214,0.564627,3.17024,0.159206,3.18042,10.3368,1.01445,37.3991,52.1132,22.3018,32,15,"CLAY",435
11,448.797,218.203,667,3,189.055,1.7041,49.3461,89.2919,7.4116,0.478219,1.55408,0.097229,1.16701,28.2025,1.777,28.4662,41.9752,39.0823,60,16,"COLLIER",2526
12,244.63,13.3702,258,0,88.3496,0.229007,51.5808,77.7995,18.4574,0.578699,1.05527,0.0851028,2.02403,6.36427,0.33101,37.2523,49.9582,25.9521,2,3,"COLUMBIA",182
13,654.237,308.763,963,0,58.8524,0.0895812,56.6299,84.23,12.6197,1.09899,0.597509,0.170717,1.28304,31.876,0.17601,35.4371,50.8709,27.9229,825,30,"DESOTO",361
14,115.982,243.018,359,1,23.6879,0.0297092,55.3533,87.3952,9.83234,0.580838,0.413174,0.0179641,1.76048,4.01796,0.0784062,31.0299,49.012,31.1198,10,27,"DIXIE",60
15,539.425,-330.425,209,6,1246.96,6.38444,48.4575,60.8023,30.5736,0.452651,5.0643,0.121872,2.98522,10.1366,4.46109,40.0915,55.042,20.1016,3,18,"DUVAL",1990
16,260.251,51.7485,312,7,480.997,1.52821,49.4967,68.92,23.208,0.899428,3.40756,0.179695,3.38537,5.81966,1.48143,40.3199,52.2492,23.4314,57,6,"ESCAMBIA",985
17,199.766,-14.7661,185,3,231.066,0.233446,48.1203,83.9498,10.7391,0.399761,2.6038,0.091017,2.21653,10.5428,0.526153,27.596,42.1801,39.156,38,12,"FLAGLER",207
18,175.604,-158.604,17,10,21.9364,0.036681,55.7686,84.0576,12.3978,0.996933,0.485685,0.0766871,1.98534,5.59816,0.0551003,30.3511,50.7924,31.6547,5,4,"FRANKLIN",2
19,664.361,-2.36099,662,0,88.9419,0.13092,47.479,41.6503,55.7698,0.583954,0.729943,0.135094,1.13087,10.509,0.215472,36.471,50.8302,24.9009,0,0,"GADSDEN",304
20,225.344,-83.3442,142,0,52.16,0.0416027,51.6488,91.2029,5.60364,0.684706,0.580631,0.120508,1.80762,6.1021,0.0857116,37.1878,48.406,27.7005,4,9,"GILCHRIST",26
21,895.347,-64.3473,831,0,17.0273,0.0292011,56.2445,78.8327,13.8298,5.18799,0.706791,0.102011,1.34072,21.1454,0.064434,28.4538,48.9872,34.0936,0,0,"GLADES",114
22,98.6894,-49.6894,49,1,28.6596,0.0408331,58.5313,79.8194,17.044,0.661965,0.476367,0.0247464,1.97352,4.62138,0.0758897,30.3328,53.9656,28.8481,1,7,"GULF",8
23,317.188,1576.81,1894,0,27.8405,0.0424219,57.8826,62.949,32.8442,1.05521,0.81761,0.0279525,2.30608,9.79734,0.0671852,38.1971,53.9623,24.7659,0,0,"HAMILTON",271
24,766.287,-47.2868,719,0,42.7038,0.120368,52.7656,88.4382,7.46926,1.17453,1.13048,0.110112,1.67737,43.975,0.127915,43.6264,49.4696,21.5562,2,14,"HARDEE",196
25,1107.29,427.708,1535,0,36.0416,0.131487,53.3329,83.6293,12.056,2.0334,0.976995,0.19973,1.10453,54.3026,0.195105,43.3175,52.185,18.9263,0,0,"HENDRY",638
26,110.858,-37.8578,73,1,403.52,0.412794,48.1885,89.8033,5.97857,0.486208,1.44448,0.0869725,2.20051,14.1823,0.896108,30.4451,44.8998,34.8948,20,48,"HERNANDO",140
27,383.239,-221.239,162,0,103.662,0.274495,48.8646,85.4407,10.4948,0.663037,1.55942,0.0958036,1.74628,20.8103,0.494964,28.1454,38.8707,42.4382,5,3,"HIGHLANDS",171
28,569.524,-318.524,251,1,1410.1,8.64483,48.921,74.2806,17.8442,0.524954,4.42943,0.130769,2.79006,29.2378,6.74617,39.3422,54.986,19.9066,9,9,"HILLSBOROUGH",3613
29,184.973,-25.9733,159,0,40.7469,0.0349972,53.0677,88.9921,6.74642,1.04225,0.667454,0.179699,2.37203,2.9676,0.0914442,35.3545,51.2143,26.6211,99,7,"HOLMES",31
30,229.041,-99.0408,130,4,312.948,0.578131,47.9128,86.9128,9.48206,0.437067,1.57801,0.0501865,1.5399,12.6819,0.739052,27.0314,41.0131,41.1237,0,0,"INDIAN RIVER",205
31,459.172,200.828,660,0,52.6198,0.129646,55.0978,69.1957,26.8544,0.875686,0.755615,0.293965,2.02464,5.0119,0.226791,33.864,53.0835,26.1609,11,7,"JACKSON",319
32,277.583,-53.5829,224,0,23.893,0.0327351,52.4286,63.0809,34.3085,0.412934,0.636898,0.0349944,1.52576,3.85638,0.0670819,29.2903,49.72,31.502,1,2,"JEFFERSON",32
33,376.571,-227.571,149,0,16.081,0.022604,57.1003,83.8869,13.5021,0.813101,0.297755,0.114521,1.38571,14.2464,0.0409966,38.628,55.7261,21.4155,4,28,"LAFAYETTE",13
34,260.727,-130.727,130,0,380.059,0.895737,48.392,83.5451,11.3295,0.607302,2.26146,0.185977,2.07072,16.0473,1.67374,31.3864,45.3409,33.6627,0,0,"LAKE",464
35,204.075,171.925,376,1,961.287,2.9244,48.9487,86.7933,9.07899,0.502511,1.75866,0.112773,1.75375,21.8965,3.54288,30.0326,44.6541,35.814,16,4,"LEE",2836
36,211.425,-51.4255,160,0,438.534,1.53162,47.3987,61.871,31.6678,0.34222,3.75792,0.0690594,2.29195,6.58013,1.37329,48.4951,57.0341,18.673,132,17,"LEON",469
37,203.16,41.84,245,1,36.4669,0.119184,48.8178,87.118,9.3819,0.73093,0.748099,0.090753,1.93034,8.5872,0.191415,31.9254,45.9652,32.7005,8,3,"LEVY",100
38,254.479,2335.52,2590,0,10.116,0.0196909,61.6649,77.0131,19.5578,1.19428,0.449332,0.0472981,1.73821,7.17749,0.0397055,35.509,60.0095,20.2554,1,2,"LIBERTY",219
39,341.751,84.2491,426,0,19.1218,0.0529732,52.8847,59.4743,37.784,0.707,0.491122,0.0269847,1.51654,5.61282,0.0869934,33.6931,51.6218,27.6486,1,12,"MADISON",79
40,221.518,127.482,349,5,531.433,1.36229,48.2828,86.1582,9.14386,0.506009,2.26767,0.093452,1.8308,16.7342,1.85384,30.206,45.0327,34.9138,3,16,"MANATEE",1377
41,155.347,-69.3471,86,0,227.258,0.998853,47.9592,82.1391,13.4731,0.520589,1.80039,0.0875056,1.97929,13.6378,1.69009,30.9531,43.5111,36.0754,115,29,"MARION",311
42,404.42,322.58,727,5,296.339,0.751141,49.4171,90.1406,5.74786,0.934051,1.47534,0.177737,1.52444,13.9412,0.755479,27.2205,43.0366,38.8542,8,2,"MARTIN",1170
43,803.011,-9.01111,794,14,1458.84,15.7737,48.5489,78.8353,17.9476,0.279079,1.65731,0.0466399,1.23408,69.0594,12.9656,35.7713,55.541,21.9252,18,11,"MIAMI-DADE",21917
44,321.108,-149.108,172,23,76.6364,0.460175,51.988,89.2839,6.86286,0.517147,1.42615,0.10263,1.80735,24.9484,0.352251,27.4754,52.1879,31.2061,4,5,"MONROE",129
45,121.15,-14.1502,107,4,132.457,0.239315,49.2287,90.6026,6.04553,0.499814,1.02409,0.0838848,1.7441,4.47852,0.40298,32.0533,48.292,30.0541,1,1,"NASSAU",92
46,136.276,23.7236,160,7,222.87,1.13695,50.6574,81.1226,10.3436,0.72611,3.25567,0.230136,4.32192,9.69417,0.973125,39.5023,53.3939,22.3318,6,3,"OKALOOSA",332
47,611.04,-170.04,441,0,54.0143,0.124519,53.6606,86.7925,9.04976,1.55765,1.02318,0.142042,1.43487,25.4544,0.195016,36.0113,50.3479,26.1093,0,0,"OKEECHOBEE",183
48,894.388,-667.388,227,0,1528.95,9.48711,49.06,68.111,22.7012,0.567271,5.70444,0.200776,2.71533,32.3301,6.48211,41.5235,57.9347,17.078,46,3,"ORANGE",3130
49,660.612,-432.612,228,0,277.101,0.905543,49.3119,79.3769,13.8534,0.814968,2.89872,0.257072,2.79899,55.2855,1.72771,41.0275,54.7656,18.2081,21,6,"OSCEOLA",838
50,419.603,174.397,594,18,753.52,7.81432,48.5054,74.8409,19.7021,0.586497,2.93087,0.109224,1.83036,22.9195,6.97647,32.7039,48.4595,30.3042,426,29,"PALM BEACH",8833
51,20.4078,76.5922,97,0,722.396,1.21516,48.627,87.9306,6.4661,0.477735,2.70241,0.104145,2.319,15.7908,2.53355,32.8408,48.4869,29.1498,15,3,"PASCO",521
52,250.168,-21.1684,229,16,3559.42,5.07048,47.9686,82.6126,11.0525,0.387478,3.59179,0.116684,2.23895,10.0066,4.57892,29.0854,49.414,32.6977,102,10,"PINELLAS",2235
53,208.605,-1.60459,207,0,393.776,2.43105,49.0006,78.9165,16.1232,0.667364,1.94023,0.110168,2.24249,23.6196,3.32409,37.3329,49.1624,26.3053,75,11,"POLK",1466
54,358.456,-102.456,256,0,102.012,0.21731,49.4842,80.3608,16.3774,0.718687,0.6661,0.136187,1.74076,10.218,0.348194,34.497,45.822,30.7782,6,8,"PUTNAM",190
55,111.273,50.7269,162,5,423.063,0.795583,50.9643,87.0465,6.46115,0.877618,2.15223,0.170059,3.29246,5.70117,0.842041,36.5929,53.5743,22.3642,9,5,"SANTA ROSA",291
56,-11.0581,191.058,180,9,561.413,0.898669,47.6525,91.527,4.77622,0.31918,1.78197,0.0618676,1.5338,9.33825,2.00343,24.2097,39.2386,44.9165,91,21,"SARASOTA",767
57,37.3755,124.624,162,0,177.398,0.414804,48.3101,78.9382,12.923,0.437978,4.8729,0.121411,2.70653,21.9812,2.19646,36.7251,55.189,21.6368,13,3,"SEMINOLE",759
58,340.615,-219.615,121,7,767.478,1.92622,48.7755,88.7816,5.5384,0.315817,3.18964,0.0857387,2.0888,7.20283,1.19375,33.195,48.6771,27.246,6,2,"ST. JOHNS",307
59,492.372,-217.372,275,3,1514.02,2.13872,48.8824,74.0561,20.9916,0.562081,1.98145,0.107434,2.30126,19.5489,1.50769,32.8897,47.1099,31.1424,36,11,"ST. LUCIE",883
60,196.955,10.0454,207,0,235.382,0.268676,49.8579,90.1191,7.46074,0.403094,0.953757,0.0683474,0.994921,5.74972,0.604498,12.9402,25.8547,66.4142,17,13,"SUMTER",266
61,311.409,132.591,444,0,64.1379,0.117871,51.4652,84.1303,12.7831,0.746758,0.68566,0.0859904,1.56819,9.63092,0.207476,35.161,48.1433,28.576,18,41,"SUWANNEE",196
62,234.469,15.5315,250,0,20.7315,0.0926057,54.5623,76.377,19.6226,0.975813,0.846321,0.0554965,2.12274,4.50446,0.10152,35.2726,50.8718,27.3043,0,0,"TAYLOR",54
63,302.252,-48.2518,254,0,61.2295,0.0323522,64.411,74.2838,22.6506,0.528782,0.742972,0.0401606,1.75368,5.7095,0.0701431,36.0509,56.8005,21.4726,1,7,"UNION",38
64,50.3971,118.603,169,10,496.858,1.77828,48.8034,83.8992,11.3857,0.473392,2.0068,0.0781681,2.15675,14.5281,2.57068,31.9938,47.844,32.0957,47,9,"VOLUSIA",928
65,163.766,-55.7655,108,1,53.566,0.065542,53.3779,83.1644,13.1019,0.739349,0.739349,0.0924186,2.1626,3.7676,0.152404,35.0821,54.0988,22.4084,1,3,"WAKULLA",35
66,150.882,56.1179,207,6,68.762,0.27152,50.5499,89.7135,5.24413,0.805604,1.38424,0.161121,2.69142,6.38039,0.335105,32.0434,49.8634,28.3082,9,13,"WALTON",148
67,392.897,-22.8965,370,0,42.6758,0.0531645,53.6576,80.4421,14.8593,1.36254,0.594855,0.34164,2.39952,3.70177,0.116811,35.7797,54.172,23.9188,9,36,"WASHINGTON",92
