,Total.Index.Crime.Rates.per.100K,Unemployment.Rate,Percent.Hispanic.Female,Percent.Hispanic.Male,Percent.Two.or.More.Races.Female,Percent.Two.or.More.Races.Male,Percent.Native.Hawaiin.Female,Percent.Native.Hawaiin.Male,Percent.Asain.Female,Percent.Asain.Male,Percent.American.Indian.Female,Percent.American.Indian.Male,Percent.Black.Female,Percent.Black.Male,Percent.White.Male,Percent.White.Female,Population.Percent.Male,HTIS.per.100K,Arson.per.100K,Percent.of.Meth.Arrests,Percent.Needle.Syringe.Arrests,Percent.Controlled.Substance.Arrests,HTS.Per.100K,Percent.of.Paraphernalia.Drug.Arrests,Battery.Assault.Per.100K,Sexual.Assault.Per.100k,Percent.Cannabis.Arrests,MVT.Per.100K,Theft.per.100K,Burglary.per.100K,Robbery.Per.100K,Homocides.Per.100k,Prop.Female.household.no.Children,Female.Household.with.Children.under.6,Prop.Female.Household.with.Children.under.18,Prop.Female.Household,Prop.Male.Household.No.Children,Prop.Male.Household.with.children.under.6,Prop.Male.Household.with.children.under.18,Prop.Male.Household,Prop.Other.Family.Type..Not.Married.,Prop.Married.no.children.under.18,Prop.Married.with.children.under.6,Prop.Married.with.Children.under.18,Prop.Married.Couple.Family,Prop.Female.Poverty.75.,Prop.Female.Poverty.65.74,Prop.Female.Poverty.55.64,Prop.Female.Poverty.45.54,Prop.Female.Poverty.35.44,Prop.Female.Poverty.25.34,Prop.Female.Poverty.18.24,Prop.Female.17.and.Under,Prop.Female.Poverty,Prop.Male.Poveryy.75.,Prop.Male.Poverty.65.74,Prop.Male.Poverty.55.64,Prop.Male.Poverty.45.54,Prop.Male.Poverty.35.44,Prop.Male.Poverty.25.34,Prop.Male.Poverty.18.24,Prop.Male.Poverty.Under.17,Prop.Male.Poverty,Prop.3.Earner,Prop.2.Earner,Prop.1.Earner,Prop.No.Earners,X2018.Normalized.Per.Capital.Income.Dollars,X2018.percent.change,X2018.rank.percent..change,Normalize.2018.GDP,Percent.Change...2018,Rank.in.State.for.Percent.Change...2018
HTS.Per.100K,0.094386726,0.005994532,0.032258842,0.043924971,0.169510803,0.174991435,0.004875926,-0.028862162,-0.009261657,-0.018991837,-0.016531638,0.02234601,0.02757849,0.071375692,-0.046486196,-0.047735447,0.02807155,0.154704419,-0.056579622,-0.005417719,-0.000615245,0.00973033,1,-0.057215891,0.051628719,0.059247677,0.057156452,0.064480125,0.122277985,0.028204515,0.031888284,0.042159884,0.076353275,-0.096523788,0.016778124,0.048188193,-0.013086709,0.029348465,0.056604071,0.035939121,0.050672432,-0.042923392,-0.028198306,-0.010179066,-0.050672432,0.085299915,0.046743353,-0.038391648,0.077998592,0.060513478,0.081583801,0.020090191,-0.000967817,0.046873959,-0.026519657,-0.063732772,0.038724776,0.019819204,0.008484208,0.062082903,0.07767406,0.095183662,0.080886567,-0.066096494,-0.046935826,0.10904225,0.005991435,0.048525695,-0.062772752,0.100176465,-0.002164549,-0.078450254,0.133392182
Percent.of.Paraphernalia.Drug.Arrests,-0.190889019,-0.063285315,-0.063550964,-0.008427479,-0.16508752,-0.196794052,0.027465923,-0.038166587,-0.070376752,-0.05663793,-0.193675842,0.114852131,-0.249188835,-0.077550384,0.199274745,0.134596712,0.203269789,0.098824343,-0.115041321,-0.173429668,-0.185644124,-0.447960503,-0.057215891,1,-0.123818352,-0.259507438,-0.045736261,-0.198781152,-0.198358103,-0.092367498,-0.22000916,-0.235680881,-0.123727332,0.074329682,-0.083795467,-0.11650578,0.101475797,-0.065044682,-0.112892005,-0.027659215,-0.103230394,0.096904459,0.037396017,0.012059164,0.103230394,0.086479846,-0.077238754,-0.064741437,-0.15963177,-0.081397034,-0.115804964,-0.084625814,-0.106119617,-0.133434708,0.065201218,-0.057364828,-0.078730695,0.042952685,0.098762948,-0.121948543,-0.126946701,-0.199542749,-0.128470219,0.000904784,0.116472836,-0.081834151,-0.056422135,0.070917627,0.033617839,0.000465797,0.123025901,-0.0330778,0.011049115
Battery.Assault.Per.100K,0.776912647,0.181729596,0.055832295,0.034041938,0.474433639,0.454351862,-0.098821422,0.102498707,0.087722415,0.111236716,0.107291635,0.008159768,0.399585494,0.274864343,-0.391394063,-0.296238945,-0.179846201,0.020286372,0.410350004,0.048251492,-0.104092591,0.124262554,0.051628719,-0.123818352,1,0.506941274,-0.009199094,0.600664736,0.65462796,0.692958781,0.672827387,0.417589569,0.412351657,0.317077963,0.469891635,0.517388857,0.300863724,0.136119293,0.162432822,0.29948104,0.515993688,-0.31858833,-0.055351112,-0.220914006,-0.515993688,0.081654566,0.167145166,0.260592275,0.286321562,0.239820484,0.404443737,0.185531658,0.294921211,0.374277591,-0.079045196,0.042334045,0.101394486,0.083744101,0.145822849,0.240444701,0.179381494,0.426410609,0.317507521,-0.225444358,-0.220619424,0.401917741,0.060014503,0.075126629,0.02162603,-0.060217718,-0.12708537,0.057984991,-0.119354812
Sexual.Assault.Per.100k,0.606855381,0.029276248,0.045831988,-0.000810549,0.384419428,0.395717218,-0.119087409,-0.036790866,0.134641706,0.128361871,0.084850283,-0.077814688,0.235821898,0.048164082,-0.232445203,-0.116878476,-0.27466755,-0.062065671,0.390079683,0.06062661,-0.166577155,0.210465763,0.059247677,-0.259507438,0.506941274,1,0.061306165,0.422330906,0.55475168,0.538697135,0.398810553,0.220334604,0.183948792,0.198434202,0.335637854,0.316245225,0.078483455,0.125055051,0.141457288,0.154325181,0.306059051,-0.216450146,-0.050486315,-0.103839613,-0.306059051,-0.032867703,-0.110843118,0.080797403,0.065914434,0.198424817,0.163142802,0.333211041,0.049852201,0.212787914,-0.040201996,-0.016808983,0.066875333,0.008745235,0.120540676,0.266831203,0.345188392,0.237243276,0.28945961,-0.046892741,-0.084968951,0.184877395,-0.031392237,0.059705318,-0.027499368,0.010449758,-0.035311725,0.03708426,-0.070858944
Percent.Cannabis.Arrests,-0.028964872,-0.252993334,0.397863685,0.392305986,0.100479301,0.117393762,0.194041597,-0.088467928,0.304245362,0.282306701,0.139961384,0.078330009,0.135282595,0.085032385,-0.173195763,-0.1908856,-0.022536596,-0.021469004,-0.08587782,-0.61302806,-0.299607073,0.21628839,0.057156452,-0.045736261,-0.009199094,0.061306165,1,-0.029158843,0.026963815,-0.241760477,0.182775883,0.121238803,-0.177501717,0.00269679,0.001024689,-0.084680827,-0.135182029,-0.078376944,-0.074704989,-0.135407023,-0.11263347,-0.241287555,0.33686422,0.353004558,0.11263347,-0.347321825,-0.248301492,-0.424409539,-0.262295113,-0.262013468,-0.208745952,0.046626697,-0.276970673,-0.287493108,-0.150357779,-0.206210442,-0.155383598,0.005054597,0.015105175,-0.090314082,0.084242502,-0.199857806,-0.095294154,0.36393587,0.361276587,-0.272562395,-0.421489761,-0.300677859,0.048781008,0.027451248,-0.162669649,0.019912286,0.085290435
MVT.Per.100K,0.801715636,0.229002373,0.173932172,0.128397405,0.61647075,0.623141851,-0.040680458,0.086886709,0.246930466,0.251244295,0.245799558,0.030253077,0.596094198,0.362167424,-0.582296926,-0.44976914,-0.302345394,0.031376924,0.590140039,-0.031793139,-0.056071272,0.26525691,0.064480125,-0.198781152,0.600664736,0.422330906,-0.029158843,1,0.749936081,0.677278913,0.756068563,0.482380079,0.552788512,0.268099745,0.501098248,0.606256527,0.344468935,0.075396392,0.167128232,0.328391715,0.597302277,-0.428235896,-0.173956086,-0.196899558,-0.597302277,0.007219894,0.262610459,0.314199392,0.24712091,0.321894627,0.412335315,0.114108296,0.334176705,0.376530284,-0.04501604,0.034429406,0.1623995,0.009120519,0.083269504,0.30433747,0.13504225,0.439623006,0.298157938,-0.080579525,-0.3125136,0.310776936,0.130718447,-0.004670471,-0.033799721,0.038613148,-0.361633769,0.066416527,-0.121004232
Theft.per.100K,0.972543814,0.111641708,0.174375861,0.125330824,0.709052799,0.695711616,-0.133470245,0.082782916,0.305792022,0.319706485,0.241946488,-0.01672115,0.518551318,0.268929583,-0.532327549,-0.388512977,-0.338637857,0.035685163,0.537527141,-0.031104072,-0.142262006,0.2812301,0.122277985,-0.198358103,0.65462796,0.55475168,0.026963815,0.749936081,1,0.795211366,0.702411147,0.395309208,0.422995467,0.332102494,0.485864483,0.533349953,0.278768971,0.100510097,0.161529758,0.285967216,0.524519566,-0.444255579,-0.049251248,-0.105417075,-0.524519566,-0.003233121,0.193836786,0.227823016,0.198573148,0.207011619,0.414181002,0.253929514,0.278628659,0.372947549,-0.151482143,0.028762273,0.109362357,0.01219823,0.068065256,0.408951836,0.311812985,0.408135577,0.356044238,-0.108596029,-0.176412847,0.305035772,0.009781746,-0.019425182,-0.083961207,0.080982653,-0.220702424,-0.033004964,-0.039086146
Burglary.per.100K,0.885414884,0.265111162,-0.10837604,-0.150244409,0.5374078,0.493976656,-0.10767862,0.046455627,0.01077357,0.022542099,0.045352972,-0.066645086,0.364947973,0.186446082,-0.347787078,-0.189128868,-0.30057502,0.046614911,0.574969224,0.174947689,-0.0764941,0.105831476,0.028204515,-0.092367498,0.692958781,0.538697135,-0.241760477,0.677278913,0.795211366,1,0.549758324,0.318894173,0.395096289,0.446120391,0.53535652,0.553453337,0.288817122,0.11371332,0.127668728,0.265755922,0.534221604,-0.28813545,-0.171336119,-0.26999019,-0.534221604,0.13653054,0.282920072,0.468203342,0.304826781,0.299854707,0.473364564,0.174634763,0.36562241,0.456994874,-0.043557752,0.098414833,0.243821957,0.052937111,0.143791313,0.37518457,0.171076443,0.510451945,0.385369411,-0.287787637,-0.324373412,0.389398169,0.227328583,0.162946539,-0.092985221,0.089541112,-0.022424225,0.008135292,-0.099298604
Robbery.Per.100K,0.747061128,0.039289266,0.353610116,0.315701102,0.612289951,0.622833984,0.010827786,0.173911246,0.455008552,0.456487907,0.267519742,0.066157629,0.700426158,0.4673419,-0.712068817,-0.616097936,-0.251322114,0.063810974,0.339287638,-0.223517609,-0.108008426,0.387698817,0.031888284,-0.22000916,0.672827387,0.398810553,0.182775883,0.756068563,0.702411147,0.549758324,1,0.659524237,0.518979915,0.212597344,0.469313755,0.568406769,0.316145447,0.036114182,0.076904718,0.242571109,0.538789992,-0.513845539,0.037475549,-0.051381726,-0.538789992,-0.121932967,0.033594313,0.112478118,0.117031334,0.176662034,0.301597467,0.199491601,0.229087213,0.261754183,-0.151891839,-0.067269997,0.027029096,-0.036105676,0.062665176,0.281040475,0.218279997,0.359822376,0.25072795,0.033499473,-0.111131542,0.267020352,-0.13131592,-0.193532145,0.023224495,-0.038030844,-0.600297761,0.044735148,-0.103105964
Homocides.Per.100k,0.438246456,0.097169708,0.170242275,0.13971965,0.429134154,0.45751407,-0.031948103,-0.013197016,0.248828151,0.243407452,0.144565564,-0.035264468,0.536058717,0.345531902,-0.494547254,-0.44690991,-0.181578762,0.058375927,0.217329102,-0.249840272,0.314311615,0.182192657,0.042159884,-0.235680881,0.417589569,0.220334604,0.121238803,0.482380079,0.395309208,0.318894173,0.659524237,1,0.242974117,0.106471819,0.331416114,0.341841409,0.064860232,0.02564778,0.105719868,0.118936764,0.315275158,-0.201244522,-0.017907182,-0.128463251,-0.315275158,-0.1579495,-0.063046245,0.001279385,0.069107116,0.154511573,0.202729027,0.122052695,0.162167875,0.155612315,-0.146712848,-0.075991494,-0.032677776,-0.035596546,-0.025265128,0.114440645,0.108894683,0.284528734,0.13261422,0.01103204,-0.087174701,0.165839429,-0.05496286,-0.195132867,0.009016007,-0.005815965,-0.293606814,-0.033920292,0.029306388
Prop.Female.household.no.Children,0.464953453,0.371745895,0.147341953,0.110570285,0.436328386,0.382600247,-0.020225645,0.339455446,0.154005685,0.158079189,0.200475703,-0.069724079,0.610523675,0.417682602,-0.554811678,-0.469674431,-0.212286723,0.06388286,0.237422565,0.094554622,-0.127437118,0.215520819,0.076353275,-0.123727332,0.412351657,0.183948792,-0.177501717,0.552788512,0.422995467,0.395096289,0.518979915,0.242974117,1,0.190093485,0.470938913,0.80142742,0.397038487,0.261096142,0.337615964,0.490007911,0.807751364,-0.453418085,-0.270137741,-0.390661744,-0.807751364,0.039366392,0.172339373,0.42823412,0.421854532,0.501596578,0.373296287,0.110846582,0.491431861,0.482036969,-0.141958203,0.251982402,0.370770107,0.231451776,0.416358793,0.432175672,0.124729309,0.512261055,0.484598888,-0.188910719,-0.481566046,0.526938024,0.207732628,0.131718499,-0.072702203,0.063144766,-0.336618841,0.018770438,-0.045717203
Female.Household.with.Children.under.6,0.376892007,0.190234864,-0.095388683,-0.092680849,0.319704022,0.261489235,-0.097250314,-0.010365277,-0.106725201,-0.094750731,0.069183579,0.003647342,0.226585232,0.183616764,-0.208111756,-0.126487267,-0.111575009,-0.027920834,0.224395626,0.099591898,-0.147768164,-0.080316429,-0.096523788,0.074329682,0.317077963,0.198434202,0.00269679,0.268099745,0.332102494,0.446120391,0.212597344,0.106471819,0.190093485,1,0.690116136,0.559537515,0.215160419,0.110810853,0.220402657,0.294338578,0.548431515,-0.254646656,-0.089511974,-0.317895433,-0.548431515,0.05417916,0.236517349,0.30965017,0.330511374,0.280168798,0.593767341,0.310352896,0.404706698,0.517804719,-0.10616758,0.148517085,0.243659664,0.19223086,0.354602537,0.396216558,0.220933474,0.465800139,0.456695945,-0.302645122,-0.319775311,0.53555624,0.109301663,0.296272682,-0.188463772,0.210430917,0.070393929,-0.174663635,0.155679919
Prop.Female.Household.with.Children.under.18,0.541976586,0.300579343,0.069550183,0.070888441,0.592106193,0.550745866,0.046329781,0.237051842,0.063639852,0.076377946,0.095392451,0.13551609,0.579857599,0.471931228,-0.564382377,-0.456094973,-0.165647152,0.011599197,0.272420887,0.012916435,-0.091048716,0.117036388,0.016778124,-0.083795467,0.469891635,0.335637854,0.001024689,0.501098248,0.485864483,0.53535652,0.469313755,0.331416114,0.470938913,0.690116136,1,0.905039717,0.325110243,0.025529705,0.175396821,0.323518909,0.837507859,-0.434794407,-0.149953768,-0.440011692,-0.837507859,0.046396799,0.189223536,0.380212774,0.409339127,0.520255046,0.620170913,0.348778892,0.620491827,0.663213056,-0.190550055,0.129919142,0.239095076,0.191316172,0.364149765,0.48820732,0.305320633,0.644773889,0.56320809,-0.358333912,-0.42905355,0.721349462,0.10962733,0.218401472,-0.061002769,0.077574021,-0.07057555,-0.039893676,-0.02098939
Prop.Female.Household,0.591622523,0.382866661,0.118063415,0.101299919,0.611958957,0.558038097,0.02175435,0.324189234,0.117250759,0.127862343,0.161156158,0.058555331,0.687356876,0.521354837,-0.650068038,-0.535583771,-0.214561294,0.038664496,0.299167118,0.054265563,-0.123223458,0.183266906,0.048188193,-0.11650578,0.517388857,0.316245225,-0.084680827,0.606256527,0.533349953,0.553453337,0.568406769,0.341841409,0.80142742,0.559537515,0.905039717,1,0.411846677,0.143193451,0.281693807,0.455592022,0.957263679,-0.513393339,-0.231909967,-0.486673244,-0.957263679,0.050436264,0.211381676,0.464245819,0.480917093,0.594562823,0.600445276,0.289909135,0.657620686,0.682055237,-0.197633066,0.209573455,0.340864966,0.241300874,0.447629832,0.539364493,0.267138655,0.684126052,0.61548893,-0.334025072,-0.52307239,0.743119216,0.174481416,0.211578844,-0.076411354,0.083038337,-0.21014618,-0.017997201,-0.03627249
Prop.Male.Household.No.Children,0.313300826,0.215759804,0.240584982,0.217301002,0.285335437,0.193464501,-0.061369557,0.23968203,0.144784126,0.142875561,0.251876294,0.033838048,0.18110913,0.08332336,-0.192128806,-0.146513103,-0.127821587,0.017518445,0.208826863,-0.039376645,-0.075526784,0.12289207,-0.013086709,0.101475797,0.300863724,0.078483455,-0.135182029,0.344468935,0.278768971,0.288817122,0.316145447,0.064860232,0.397038487,0.215160419,0.325110243,0.411846677,1,0.046189946,0.080586166,0.642172808,0.541922597,-0.383998936,-0.205314183,-0.183128966,-0.541922597,0.08468777,0.096704986,0.229446688,0.245779115,0.160175032,0.317934173,-0.0057839,0.243626806,0.238068674,-0.003383897,0.165406967,0.090463256,0.096241728,0.199531197,0.034825878,0.023345225,0.193162895,0.162322413,-0.048358323,-0.257888873,0.309413428,0.049809725,0.081267578,-0.138542955,0.087849701,-0.222364277,-0.109479794,0.01626289
Prop.Male.Household.with.children.under.6,0.118969023,0.238146867,-0.09353209,-0.076958159,-0.004239172,0.016273014,-0.194854835,-0.15713854,-0.210958569,-0.201197082,-0.045806995,-0.161808587,-0.070008884,-0.008613578,0.09576219,0.092591974,0.043310259,0.014979695,0.24202206,0.015191733,0.11716058,0.013529148,0.029348465,-0.065044682,0.136119293,0.125055051,-0.078376944,0.075396392,0.100510097,0.11371332,0.036114182,0.02564778,0.261096142,0.110810853,0.025529705,0.143193451,0.046189946,1,0.682620224,0.551775976,0.295147033,-0.033798923,-0.230417378,-0.273246599,-0.295147033,0.045855287,-0.05799986,0.012364432,0.056304792,0.186433223,0.109574664,0.009121387,0.070652622,0.081185861,0.041504672,0.188870888,0.09658492,0.177330534,0.331751512,0.176236145,-0.000565013,0.264523352,0.243881288,-0.104976873,-0.237959184,0.25150411,0.118617824,0.212754029,0.035891164,0.025073066,0.096940335,0.03509734,0.049353714
Prop.Male.Household.with.children.under.18,0.169382701,0.270247031,-0.035352591,-0.043427142,0.067292395,0.111655581,-0.124745354,-0.018585855,-0.156202233,-0.149577942,0.032240574,-0.194273054,0.080408881,0.039622732,-0.012548596,-0.007508637,-0.044655401,0.038321414,0.141610164,0.071309893,0.084412698,0.005006969,0.056604071,-0.112892005,0.162432822,0.141457288,-0.074704989,0.167128232,0.161529758,0.127668728,0.076904718,0.105719868,0.337615964,0.220402657,0.175396821,0.281693807,0.080586166,0.682620224,1,0.815817023,0.493012966,-0.108456184,-0.346273416,-0.404974422,-0.493012966,-0.017265431,0.010422374,0.216911965,0.335878324,0.268687804,0.224696681,0.116258305,0.184818597,0.260334412,-0.09955964,0.273415101,0.359624563,0.364058279,0.392766391,0.368358458,0.117064435,0.388090267,0.457174343,-0.139357168,-0.360413227,0.329382888,0.209081049,0.270722283,0.012499606,0.04226222,0.074800309,0.014606453,0.058837841
Prop.Male.Household,0.312041893,0.332715674,0.112345926,0.092641667,0.217147571,0.197956097,-0.131416023,0.124702722,-0.036042495,-0.032060336,0.170818991,-0.129621403,0.166787756,0.078753961,-0.121046599,-0.090724408,-0.108422579,0.039635662,0.230067621,0.031779706,0.020883997,0.074957746,0.035939121,-0.027659215,0.29948104,0.154325181,-0.135407023,0.328391715,0.285967216,0.265755922,0.242571109,0.118936764,0.490007911,0.294338578,0.323518909,0.455592022,0.642172808,0.551775976,0.815817023,1,0.693579053,-0.306204515,-0.385428133,-0.417700998,-0.693579053,0.035857427,0.064123397,0.299942875,0.400911308,0.299570447,0.357269981,0.086053945,0.283488375,0.338339844,-0.078530779,0.306241581,0.329059805,0.335822257,0.417828803,0.303496057,0.103574542,0.410537706,0.445774027,-0.135231545,-0.426806195,0.432836366,0.189695573,0.255353208,-0.070769262,0.083472375,-0.0714891,-0.052286605,0.054685581
Prop.Other.Family.Type..Not.Married.,0.580147833,0.417958018,0.132056877,0.112085155,0.565639214,0.515780735,-0.025176011,0.30279745,0.08310427,0.092983196,0.185942152,0.005173476,0.61023224,0.447314364,-0.565185081,-0.462718991,-0.20882946,0.044166413,0.316846917,0.054244644,-0.092832038,0.172640225,0.050672432,-0.103230394,0.515993688,0.306059051,-0.11263347,0.597302277,0.524519566,0.534221604,0.538789992,0.315275158,0.807751364,0.548431515,0.837507859,0.957263679,0.541922597,0.295147033,0.493012966,0.693579053,1,-0.51494475,-0.312895057,-0.529546148,-1,0.05246513,0.191892792,0.473138011,0.51943315,0.578475362,0.601981916,0.26256582,0.624279644,0.661874068,-0.185447668,0.269092148,0.382752608,0.304377967,0.497991995,0.53508181,0.249831259,0.687006488,0.642910312,-0.314243898,-0.561960186,0.741991087,0.202829048,0.254181692,-0.084827967,0.094317978,-0.193286043,-0.031551724,-0.011586327
Prop.Married.no.children.under.18,-0.435056856,0.136727356,-0.579519346,-0.566471271,-0.505586224,-0.517185722,0.050745382,-0.254457545,-0.503939381,-0.491995074,-0.360441234,-0.154764008,-0.47532902,-0.310138956,0.553653438,0.458189593,0.209080974,-0.082821412,-0.232767296,0.312546949,0.237948498,-0.440630784,-0.042923392,0.096904459,-0.31858833,-0.216450146,-0.241287555,-0.428235896,-0.444255579,-0.28813545,-0.513845539,-0.201244522,-0.453418085,-0.254646656,-0.434794407,-0.513393339,-0.383998936,-0.033798923,-0.108456184,-0.306204515,-0.51494475,1,-0.386002503,-0.4544794,0.51494475,0.261362661,0.1058019,0.107394131,0.029555581,-0.071130422,-0.211266112,-0.105027101,-0.086259064,-0.073333492,0.430719965,0.141663199,0.069783216,0.077055081,-0.151178699,-0.122241802,-0.133787945,-0.208853721,-0.107027134,-0.341332477,-0.091146207,-0.202090248,0.517105454,0.286699077,-0.010758457,-0.027568094,0.344556447,-0.073034244,0.097874819
Prop.Married.with.children.under.6,-0.086666599,-0.571911121,0.240624678,0.29136455,-0.043528506,-0.017857767,-0.151214127,-0.112710435,0.396132282,0.406343092,-0.019477612,0.220609026,-0.031964079,0.086360925,-0.100664475,-0.16501346,0.183220156,-0.007592279,-0.117397705,-0.313819634,-0.068664525,0.1370989,-0.028198306,0.037396017,-0.055351112,-0.050486315,0.33686422,-0.173956086,-0.049251248,-0.171336119,0.037475549,-0.017907182,-0.270137741,-0.089511974,-0.149953768,-0.231909967,-0.205314183,-0.230417378,-0.346273416,-0.385428133,-0.312895057,-0.386002503,1,0.707111124,0.312895057,-0.156047701,-0.324701725,-0.450444299,-0.446094482,-0.323649976,-0.194158248,0.077504711,-0.35549816,-0.330748155,-0.275657827,-0.308669838,-0.31266438,-0.155751856,-0.104931622,-0.177615233,0.113056833,-0.349843986,-0.24648724,0.316162821,0.589160374,-0.285901866,-0.620006671,-0.418933879,0.138411271,-0.113822648,-0.17042768,0.100348843,-0.106107967
Prop.Married.with.Children.under.18,-0.17232424,-0.570738487,0.437916634,0.445748041,-0.08673989,-0.023333084,-0.024178667,-0.062509582,0.413827497,0.391687422,0.164330857,0.148267813,-0.163190297,-0.15763542,0.038545358,0.026680907,0.009762164,0.036063283,-0.098902557,-0.362292369,-0.13684401,0.252645161,-0.010179066,0.012059164,-0.220914006,-0.103839613,0.353004558,-0.196899558,-0.105417075,-0.26999019,-0.051381726,-0.128463251,-0.390661744,-0.317895433,-0.440011692,-0.486673244,-0.183128966,-0.273246599,-0.404974422,-0.417700998,-0.529546148,-0.4544794,0.707111124,1,0.529546148,-0.313153745,-0.304097695,-0.597920619,-0.569000219,-0.530716431,-0.416468696,-0.168905684,-0.563341713,-0.615197538,-0.233524623,-0.419804234,-0.466780841,-0.392536256,-0.367871377,-0.435047153,-0.127212136,-0.507206585,-0.562149773,0.664308685,0.674139014,-0.571035056,-0.722474755,-0.54783341,0.098792597,-0.070727107,-0.140114926,0.105058379,-0.08481425
Prop.Married.Couple.Family,-0.580147833,-0.417958018,-0.132056877,-0.112085155,-0.565639214,-0.515780735,0.025176011,-0.30279745,-0.08310427,-0.092983196,-0.185942152,-0.005173476,-0.61023224,-0.447314364,0.565185081,0.462718991,0.20882946,-0.044166413,-0.316846917,-0.054244644,0.092832038,-0.172640225,-0.050672432,0.103230394,-0.515993688,-0.306059051,0.11263347,-0.597302277,-0.524519566,-0.534221604,-0.538789992,-0.315275158,-0.807751364,-0.548431515,-0.837507859,-0.957263679,-0.541922597,-0.295147033,-0.493012966,-0.693579053,-1,0.51494475,0.312895057,0.529546148,1,-0.05246513,-0.191892792,-0.473138011,-0.51943315,-0.578475362,-0.601981916,-0.26256582,-0.624279644,-0.661874068,0.185447668,-0.269092148,-0.382752608,-0.304377967,-0.497991995,-0.53508181,-0.249831259,-0.687006488,-0.642910312,0.314243898,0.561960186,-0.741991087,-0.202829048,-0.254181692,0.084827967,-0.094317978,0.193286043,0.031551724,0.011586327
Prop.Female.Poverty.75.,0.032579668,0.076471266,-0.277834506,-0.273606203,-0.117073323,-0.155965612,-0.023056439,-0.100535889,-0.314699296,-0.278521434,-0.161226223,-0.124524948,-0.117502805,-0.109265945,0.168911025,0.206710399,-0.032311306,0.050068041,0.019333113,0.363403917,-0.042033723,-0.21339806,0.085299915,0.086479846,0.081654566,-0.032867703,-0.347321825,0.007219894,-0.003233121,0.13653054,-0.121932967,-0.1579495,0.039366392,0.05417916,0.046396799,0.050436264,0.08468777,0.045855287,-0.017265431,0.035857427,0.05246513,0.261362661,-0.156047701,-0.313153745,-0.05246513,1,0.172379777,0.308170352,0.112621151,0.225734788,0.135758098,-0.032155422,0.072817062,0.21004195,0.347384804,0.020837175,0.252052828,0.180279297,0.07122119,0.103196913,-0.070728707,0.083753438,0.131759452,-0.338955193,-0.230700908,0.233307368,0.29620467,0.24555639,0.025274294,-0.076747118,0.069136374,0.035589625,-0.105215261
Prop.Female.Poverty.65.74,0.21768174,0.511760335,-0.206854629,-0.190196804,0.117630323,0.086740187,0.056978249,0.185361525,-0.188928681,-0.164190589,0.156964342,0.094310609,0.143237611,0.219969567,-0.131931478,-0.112386078,0.058698364,-0.00118998,0.192947221,0.373217338,-0.140789056,-0.097520557,0.046743353,-0.077238754,0.167145166,-0.110843118,-0.248301492,0.262610459,0.193836786,0.282920072,0.033594313,-0.063046245,0.172339373,0.236517349,0.189223536,0.211381676,0.096704986,-0.05799986,0.010422374,0.064123397,0.191892792,0.1058019,-0.324701725,-0.304097695,-0.191892792,0.172379777,1,0.536039541,0.518429723,0.320024861,0.33717509,0.011358772,0.367463562,0.476550482,0.26384603,0.287376929,0.222507732,-0.023750337,0.013394837,0.175233705,-0.005689203,0.331090861,0.208834892,-0.368815593,-0.494026033,0.28044862,0.560713618,0.357572578,-0.124014039,0.15736842,0.010653361,-0.012482138,0.040011846
